strain_pct,seed,clearance_time,n_ruptured,lysis_fraction,mean_fiber_strain_initial,n_fragile_initial,n_total,reason,wall_s
60,14,47.0926271426906,250,0.498,0.4825501575720303,9,500,network_cleared,5.438575744628906
80,0,36.663473967860426,231,0.46,0.5674564263194847,9,500,network_cleared,5.06770658493042
80,1,39.14090311341158,232,0.462,0.5674564263194847,9,500,network_cleared,5.0707478523254395
80,2,32.44906377436335,204,0.406,0.5674564263194847,9,500,network_cleared,4.522233486175537
80,3,35.42543762320115,241,0.48,0.5674564263194847,9,500,network_cleared,5.318132162094116
80,4,24.269418801532087,159,0.316,0.5674564263194847,9,500,network_cleared,3.569831371307373
80,5,42.65398449282754,244,0.486,0.5674564263194847,9,500,network_cleared,5.330384969711304
80,6,32.242617539295004,211,0.42,0.5674564263194847,9,500,network_cleared,4.659255266189575
80,7,42.509859724293975,254,0.506,0.5674564263194847,9,500,network_cleared,5.520726203918457
80,8,42.872936814382946,241,0.48,0.5674564263194847,9,500,network_cleared,5.237349271774292
80,9,43.12695734451745,261,0.52,0.5674564263194847,9,500,network_cleared,5.750519514083862
80,10,42.16586785007155,254,0.506,0.5674564263194847,9,500,network_cleared,5.582843780517578
80,11,51.70615430607832,274,0.546,0.5674564263194847,9,500,network_cleared,5.920873165130615
80,12,47.44683901482657,249,0.496,0.5674564263194847,9,500,network_cleared,5.41557240486145
80,13,36.39360762347174,220,0.438,0.5674564263194847,9,500,network_cleared,4.850384950637817
80,14,47.09271452627136,250,0.498,0.5674564263194847,9,500,network_cleared,5.512802362442017
100,0,36.663477533488155,231,0.46,0.6523774461683164,9,500,network_cleared,5.033491611480713
100,1,39.140906901368226,232,0.462,0.6523774461683164,9,500,network_cleared,5.073766708374023
100,2,32.44906674625034,204,0.406,0.6523774461683164,9,500,network_cleared,4.521318197250366
100,3,35.42544090978758,241,0.48,0.6523774461683164,9,500,network_cleared,5.292736768722534
100,4,24.269420898247134,159,0.316,0.6523774461683164,9,500,network_cleared,3.548788070678711
100,5,42.65398875273078,244,0.486,0.6523774461683164,9,500,network_cleared,5.317176580429077
100,6,32.2426204525477,211,0.42,0.6523774461683164,9,500,network_cleared,4.7308738231658936
100,7,42.50986388318585,254,0.506,0.6523774461683164,9,500,network_cleared,5.5192930698394775
100,8,42.872941067341316,241,0.48,0.6523774461683164,9,500,network_cleared,5.258501052856445
100,9,43.12696136105208,261,0.52,0.6523774461683164,9,500,network_cleared,5.658356428146362
100,10,42.16587190454868,254,0.506,0.6523774461683164,9,500,network_cleared,5.552318096160889
100,11,51.70615979203679,274,0.546,0.6523774461683164,9,500,network_cleared,5.987333297729492
100,12,47.44684366521429,249,0.496,0.6523774461683164,9,500,network_cleared,5.3987061977386475
100,13,36.39361099581557,220,0.438,0.6523774461683164,9,500,network_cleared,4.856043815612793
100,14,47.0927193370779,250,0.498,0.6523774461683164,9,500,network_cleared,5.420602321624756
